fips,Year,EV_Count,EV_New_Stations,EV_Growth_Rate,RegionName,StateName,StateCodeFIPS,MunicipalCodeFIPS,Price_Q25,Price_Q50,Price_Q75,Price_Growth_Pct,EPA_State_Code,EPA_County_Code,NO2_Q25,NO2_Q50,NO2_Q75,NO2_Mean,NO2_Peak,Population,EV_per_100k,log_EV_Count,log_Population,log_Price_Q50,Land_Area_sqmi,Population_Density,DVMT,VMT,median_income,log_Population_Density,log_DVMT,log_Land_Area
1073,2023,20,20,,Jefferson County,AL,1,73,211616.9323707716,213729.7403377164,215215.0870201136,,1,73,5.841667,8.083333,10.765217,8.829102605657237,27.577778,664419,3.010148716397333,3.044522437723423,13.406669758616193,12.272467600261134,1111.54,597.7463699012181,21221702.257428583,7745921323.961434,64726,6.394838085911286,16.87053495453724,7.014400968450207
1073,2024,36,36,80,Jefferson County,AL,1,73,211527.28259157776,212528.2597952271,212747.89009359112,-0.562149442,1,73,5.597917,8.239583,12.074773,9.455813530888031,34.8,666585,5.400661581043678,3.6109179126442243,13.409924442535019,12.266830245776243,1111.556,599.6863855712172,21196478.48,7736714645.309501,69346,6.398072977326291,16.869345663602378,7.014415349852179
1073,2025,9,9,-75,Jefferson County,AL,1,73,210029.3628732372,210508.11914924663,211075.5644311833,-0.950528014,1,73,5.646558,8.120833,12.5625,9.612682149855909,29.458333,665742,1.3518750506953143,2.302585092994046,13.408658989163522,12.257279502141008,1111.567,598.9220622778474,21422896.476021606,7819357213.747887,69346,6.396799750575316,16.87997088,7.014425236946061
4013,2023,133,133,,Maricopa County,AZ,4,13,458799.3126437664,463509.7975249075,468110.0782860928,,4,13,8.25,13.166667,20.083333,14.679987738358138,49.291667,4601077,2.890627563937748,4.897839799950911,15.341801181830247,13.046582801898206,9202.016,500.0074983568818,106398656.09849615,38835509476,86973,6.216621067753067,18.482703513537434,9.127286535400858
4013,2024,159,159,19.54887218045113,Maricopa County,AZ,4,13,474083.2472815413,475301.5701549468,477003.8590830886,2.544017989049241,4,13,7.875,13.666667,21.375,15.202277811709603,47.583333,4654147,3.416308079654553,5.075173815233827,15.353269422940379,13.071704766099582,9202.016,505.7747128,108501805.2,39603158885.55351,90919,6.228066551385256,18.502277377496558,9.127286535400858
4013,2025,159,159,0,Maricopa County,AZ,4,13,458712.5372708064,462042.1841575006,467502.40860795847,-2.78967856,4,13,7.20624975,12.166667,19.410985,13.865432449228791,42.714286,4689558,3.3905114298618333,5.075173815233827,15.360849106150633,13.04341147,9202.021,509.6226144235054,110191744.78618304,40219986846.95681,90919,6.235630793727722,18.517732549756033,9.127287078700864
4019,2023,35,35,,Pima County,AZ,4,19,338014.67945849535,341031.5408863117,345139.04860863526,,4,19,4.920833,8.1447465,12.633333,9.144253368173258,24.1,1065239,3.2856476340051386,3.583518938,13.878710683850365,12.739730247256006,9188.683,115.92945365511032,20799226.888251163,7591717814.211675,69553,4.761570792731411,16.85042642,9.125836720739567
4019,2024,33,33,-5.714285714,Pima County,AZ,4,19,349496.9239050997,351203.0934357379,352330.14574376243,2.982584110253028,4,19,4.9041665000000005,8.819048,12.8916665,9.497477898630136,26.8625,1073456,3.0741828263105333,3.5263605246161616,13.886394839606773,12.769119948892627,9188.683,116.8237058564323,21210358.72,7741780933.676001,71993,4.769189489141855,16.870000286434763,9.125836720739567
4019,2025,55,55,66.66666666666667,Pima County,AZ,4,19,340504.77418733045,343722.7614739805,346021.6662028696,-2.129916308,4,19,4.600000250000001,7.844643,12.5489585,8.957056742537313,27.254545,1074685,5.117778697944049,4.025351691,13.887539083853168,12.747590685474895,9188.692,116.95734278611148,21540714.752058618,7862360884.501395,71993,4.770323057295518,16.885455458112528,9.125837700098222
5035,2024,2,2,,Crittenden County,AR,5,35,154407.81487515563,155658.7243346093,156917.58679098476,-2.914105587,5,35,1.17500025,3.40625,5.2239585,3.709708007407408,12.254167,46789,4.274508965782555,1.0986122886681096,10.753424783860263,11.95542122527621,611.812,76.47610703941733,2540341.625,927224693.1,51600,4.349969592560655,14.74780952162993,6.418058200480083
5119,2023,27,27,,Pulaski County,AR,5,119,192084.4280870181,192902.3405405785,193540.3500468949,,5,119,1.8104165,2.4875,3.2458335,2.6763159696969696,8.254167,401297,6.728183863821559,3.332204510175204,12.902459572439948,12.169939332260224,758.366,529.1600626,13782876.495174017,5030749920.738516,61344,6.273178965857526,16.43893761852665,6.6324838746068275
5119,2024,8,8,-70.37037037,Pulaski County,AR,5,119,197269.21491831585,199478.2750677888,199952.1528510592,3.408944914189349,5,119,1.862879,2.658333,3.96875,3.008155454,8.229167,403394,1.983172778970436,2.1972245773362196,12.90767150977992,12.203460612479043,758.369,531.9231139458495,13903551.87,5074796431.820001,66706,6.278377162,16.447654967454678,6.632487825
5119,2025,13,13,62.5,Pulaski County,AR,5,119,199422.44634950644,200579.75583448805,201539.1445350792,0.5521808158432062,5,119,4.979167,6.9416665,10.52812475,8.190315706140352,29.633333,404611,3.212962573929033,2.639057329615259,12.910683862198358,12.208967231344062,758.37,533.5271701148516,14096460.828830864,5145208202.523266,66706,6.2813825619418235,16.46143438973369,6.632489142145096
6001,2023,132,132,,Alameda County,CA,6,1,1050857.5155933397,1061414.5540640438,1081093.2197798165,,6,1,4.52375,7.5617055,11.553261,8.687764589344262,32.604348,1633055,8.083010063959879,4.890349128221754,14.305963664077419,13.875113061420647,737.459,2214.4349719781035,31650720.843690623,11552513107.947077,119230,7.703204038810951,17.270271513362015,6.604565582488482
6001,2024,107,107,-18.93939394,Alameda County,CA,6,1,1109234.151827856,1125997.116871321,1131502.8000591071,6.084574830823408,6,1,7.6923915,10.6130435,13.97934825,10.73791875,24.073913,1636624,6.537848644526783,4.682131227,14.308146752530055,13.934179527173452,737.459,2219.274563060455,32035854.28,11693086811,128031,7.7053861442732074,17.28236631093517,6.604565582488482
6007,2023,9,9,,Butte County,CA,6,7,395258.8235,396344.2205,397631.6369275684,,6,7,2.758333,3.8,5.83913,4.829823120547945,14.082609,207286,4.341827233870112,2.302585092994046,12.241859585410658,12.89003835634998,1636.49,126.66499642527604,4029787.380055561,1470872394,63084,4.849409617596219,15.20922442139164,7.400919860620531
6007,2024,8,8,-11.11111111,Butte County,CA,6,7,392083.5517226789,392460.92518669367,393188.0398066836,-0.979778458,6,7,2.578261,3.873913,5.352174,4.341520781163434,14.26087,208586,3.8353484893521137,2.1972245773362196,12.248111499376718,12.88019225758433,1636.512,127.4576660604994,4078822.783,1488770315.8314998,65143,4.8555994030556855,15.221319216361357,7.400933296
